weight_1,weight_2,weight_3,weight_4,weight_doji,weight_volume,entry_threshold,exit_threshold,stop_atr_mult,Return [%]
0.2,0.15,0.25,0.3,0.3,0.05,0.7,1.2,1.5,292.19290654902306
0.2,0.15,0.25,0.3,0.3,0.1,0.7,1.2,1.5,288.71210416189166
0.15,0.2,0.2,0.3,0.3,0.05,0.7,1.1,1.5,278.99813730064193
0.15,0.15,0.3,0.3,0.3,0.05,0.7,1.3,1.5,278.63969152344976
0.2,0.15,0.25,0.3,0.3,0.05,0.7,1.3,1.5,277.09375954362895
0.2,0.25,0.2,0.3,0.25,0.05,0.8,1.2,1.5,276.2471309231456
0.25,0.15,0.3,0.3,0.3,0.05,0.7,1.3,1.5,275.803180342785
0.15,0.2,0.2,0.3,0.3,0.15,0.7,1.2,1.5,275.2213730425764
0.15,0.2,0.2,0.3,0.2,0.05,0.7,1.1,1.5,273.98427239556025
0.25,0.2,0.2,0.3,0.25,0.05,0.8,1.3,1.5,273.87009898687916
0.15,0.2,0.2,0.3,0.3,0.05,0.7,1.2,1.5,273.77623736066454
0.15,0.2,0.25,0.3,0.3,0.05,0.7,1.2,1.5,273.04639640002677
0.2,0.15,0.2,0.3,0.3,0.05,0.7,1.1,1.5,272.4500046303548
0.25,0.15,0.2,0.3,0.25,0.1,0.7,1.3,1.5,272.1578902249511
0.25,0.2,0.2,0.3,0.3,0.05,0.8,1.3,1.5,271.9402537022439
0.15,0.2,0.25,0.3,0.3,0.1,0.7,1.2,1.5,271.7851266260587
0.2,0.15,0.25,0.3,0.25,0.05,0.7,1.2,1.5,271.6954421519622
0.15,0.2,0.2,0.3,0.25,0.1,0.7,1.1,1.5,271.1827985385967
0.2,0.15,0.2,0.3,0.25,0.05,0.7,1.1,1.5,270.545690096999
0.15,0.2,0.2,0.3,0.3,0.1,0.7,1.2,1.5,270.5179397235334
0.25,0.15,0.25,0.3,0.3,0.05,0.7,1.2,1.5,270.49160074921804
0.2,0.15,0.25,0.3,0.3,0.1,0.7,1.3,1.5,270.36373423372027
0.2,0.15,0.25,0.3,0.3,0.05,0.7,1.2,2.0,270.2519325985369
0.2,0.15,0.25,0.3,0.25,0.1,0.7,1.2,1.5,269.8665024474342
0.15,0.25,0.2,0.3,0.25,0.05,0.7,1.2,1.5,269.5335867988331
0.2,0.15,0.25,0.3,0.3,0.15,0.7,1.3,1.5,268.6620949414183
0.25,0.15,0.25,0.3,0.3,0.1,0.7,1.3,1.5,268.18271937626463
0.15,0.2,0.2,0.3,0.3,0.15,0.8,1.2,1.5,267.10503054012213
0.2,0.15,0.25,0.3,0.3,0.1,0.7,1.2,2.0,267.02397895236186
0.25,0.15,0.2,0.3,0.3,0.1,0.8,1.3,1.5,266.78783700639224
0.25,0.15,0.25,0.3,0.3,0.05,0.7,1.3,1.5,266.588794706678
0.2,0.15,0.2,0.3,0.3,0.1,0.7,1.1,1.5,266.0026002808192
0.15,0.2,0.2,0.3,0.3,0.15,0.8,1.2,2.0,265.8852454499732
