time,open,high,low,close,Volume
2012-03-12,107.39501118,107.55139794,107.03790696,107.41913711,2608954
2012-03-13,108.01041302,109.39526165,107.82369186,109.35636141,3898998
2012-03-14,109.41082174,109.6597833,108.90900862,109.21632053,2523946
2012-03-15,109.39526165,109.90874485,109.13074,109.86984461,2929285
2012-03-16,110.06434582,110.1577064,109.79982417,110.01766553,2734444
2012-03-19,109.97876528,110.79567037,109.87762465,110.46891612,3033440
2012-03-20,109.83094436,110.27441491,109.51974242,110.13436625,2766840
2012-03-21,110.18104654,110.30552732,109.73758378,109.93208499,2712772
2012-03-22,109.15408015,109.42637406,108.81953806,109.17742029,6018188
2012-03-23,109.28634097,109.63644315,108.66393709,109.55086262,2874182
2012-03-26,110.2873047,111.02192819,110.27948956,111.02192819,2300644
2012-03-27,111.15478563,111.23293706,110.65461645,110.71713759,2273872
2012-03-28,110.67024673,110.83437256,109.5136055,110.19352298,3458738
2012-03-29,109.49797521,110.12318669,109.09158775,109.96689164,3241337
2012-03-30,110.52956633,110.63117102,109.84184152,110.35764881,2182175
2012-04-02,110.2873047,111.52992033,110.09974126,111.22512973,3088924
2012-04-03,111.07663419,111.26419764,110.13880916,110.80310417,3087062
2012-04-04,109.94343057,110.06066554,109.2947893,109.62301751,4599301
2012-04-05,109.34167234,109.95125353,109.22443737,109.64646294,2419659
2012-04-09,108.27098987,108.84150316,108.10687967,108.38822484,2504918
2012-04-10,108.18502329,108.49763685,106.48132983,106.59854917,5502789
2012-04-11,107.69267707,107.8802327,107.26284418,107.33318047,4433754
2012-04-12,107.55981963,108.93528488,107.48557577,108.86494859,3273309
2012-04-13,108.59141857,108.59924153,107.45822276,107.52855906,2476222
2012-04-16,108.11469482,108.24754444,107.116701,107.44259248,3727173
2012-04-17,108.09907234,109.28696634,108.00528281,109.04469689,2329813
2012-04-18,108.614864,109.06814232,108.53468063,108.71646086,2619363
2012-04-19,108.71646086,109.12674808,107.50511363,108.06780396,3736945
2012-04-20,108.48982952,108.88839402,108.14595539,108.16157786,1830538
2012-04-23,107.09871835,107.37225619,106.6219946,107.28628961,2468070
2012-04-24,107.40350895,107.95839195,107.317558,107.68485411,2274427
2012-04-25,108.75553658,109.20099976,108.66174704,109.20099976,3062003
2012-04-26,108.94309221,110.05285821,108.87276373,109.9278081,2450359
2012-04-27,110.27948956,110.42015433,109.66029574,110.12318669,3280457
2012-04-30,109.89654753,109.97469896,109.41200863,109.63083265,4696324
2012-05-01,109.61519455,111.10789477,109.52142064,110.35764881,7853176
2012-05-02,109.70898409,110.16227022,109.37293292,110.06848069,2098074
2012-05-03,110.07630364,110.14663212,109.01344413,109.24788281,2236034
2012-05-04,108.65393972,108.74771362,107.39570162,107.45041544,2153279
2012-05-07,107.05965826,107.8802327,107.00494444,107.49729848,1929542
