--- Optimization Complete ---

Start                     2015-11-16 00:00:00
End                       2025-11-14 00:00:00
Duration                   3651 days 00:00:00
Exposure Time [%]                    64.77137
Equity Final [$]                 250564.53874
Equity Peak [$]                  262861.87573
Commissions [$]                   15319.41507
Return [%]                          150.56454
Buy & Hold Return [%]               226.52065
Return (Ann.) [%]                     9.64057
Volatility (Ann.) [%]                10.88834
CAGR [%]                               6.5453
Sharpe Ratio                           0.8854
Sortino Ratio                         1.42077
Calmar Ratio                          0.70055
Alpha [%]                            83.17225
Beta                                  0.29751
Max. Drawdown [%]                   -13.76141
Avg. Drawdown [%]                    -1.68868
Max. Drawdown Duration      487 days 00:00:00
Avg. Drawdown Duration       30 days 00:00:00
# Trades                                   47
Win Rate [%]                         48.93617
Best Trade [%]                       16.39437
Worst Trade [%]                      -4.07454
Avg. Trade [%]                         1.9782
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                         3.52883
Expectancy [%]                        2.08284
SQN                                   2.78486
Kelly Criterion                       0.34018
_strategy                 HeikinAshiWeight...
_equity_curve                             ...
_trades                       Size  EntryB...
dtype: object

--- Best Parameters ---
  weight_1: 0.2 | weight_2: 0.15
  weight_3: 0.2 | weight_4: 0.3
  weight_doji: 0.35 | weight_volume: 0.05
  entry_threshold: 0.7 | exit_threshold: 1.1
  stop_atr_mult: 1.5 | trailing_atr_mult: 4.0
Plot saved as: HeikinAshi_optimized_2025-11-30.html  ||  Heatmap saved as: HeikinAshi_heatmap_2025-11-30.html

--- Top 150 parameter sets (by Return [%]): (.csv) ---
weight_1,weight_2,weight_3,weight_4,weight_doji,weight_volume,entry_threshold,exit_threshold,stop_atr_mult,trailing_atr_mult,Return [%]
0.20,0.15,0.20,0.30,0.35,0.05,0.70,1.20,1.50,4.00,150.56
0.20,0.15,0.20,0.30,0.35,0.05,0.70,1.10,1.50,4.00,150.56
0.20,0.15,0.25,0.30,0.35,0.05,0.70,1.20,1.50,4.00,150.48
0.20,0.15,0.25,0.30,0.35,0.05,0.70,1.30,1.50,4.00,150.48
0.25,0.15,0.30,0.30,0.35,0.05,0.75,1.30,1.50,4.00,149.23
0.20,0.15,0.25,0.30,0.30,0.05,0.65,1.20,1.50,4.00,148.79
0.20,0.15,0.25,0.30,0.35,0.10,0.70,1.20,1.50,4.00,148.34
0.20,0.15,0.25,0.30,0.35,0.10,0.70,1.30,1.50,4.00,147.84
0.20,0.15,0.25,0.25,0.35,0.10,0.70,1.20,1.50,4.00,145.46
0.25,0.15,0.30,0.30,0.35,0.05,0.75,1.20,1.50,4.00,145.29
0.20,0.15,0.20,0.30,0.30,0.10,0.65,1.10,1.50,4.00,144.68
0.25,0.15,0.30,0.30,0.35,0.10,0.75,1.30,1.50,4.00,144.44
0.20,0.15,0.20,0.30,0.35,0.05,0.70,1.30,1.50,4.00,144.21
0.15,0.15,0.30,0.30,0.35,0.05,0.70,1.30,1.50,4.00,144.11
0.15,0.15,0.30,0.30,0.35,0.05,0.70,1.20,1.50,4.00,144.11
0.20,0.15,0.20,0.30,0.30,0.05,0.65,1.10,1.50,4.00,144.01
0.20,0.15,0.25,0.30,0.30,0.10,0.70,1.20,1.50,4.00,143.97
0.20,0.15,0.30,0.30,0.35,0.05,0.70,1.30,1.50,4.00,143.65
0.20,0.15,0.30,0.30,0.35,0.10,0.75,1.30,1.50,4.00,143.58
0.15,0.15,0.25,0.30,0.30,0.05,0.65,1.20,1.50,4.00,143.48
0.25,0.15,0.25,0.30,0.35,0.15,0.75,1.30,1.50,4.00,142.83
0.20,0.15,0.25,0.30,0.35,0.10,0.70,1.10,1.50,4.00,142.80
0.15,0.15,0.20,0.30,0.30,0.10,0.65,1.10,1.50,4.00,142.51
0.20,0.15,0.25,0.30,0.30,0.05,0.65,1.30,1.50,4.00,142.41
0.25,0.15,0.25,0.30,0.30,0.10,0.70,1.20,1.50,4.00,142.40
0.20,0.15,0.20,0.30,0.35,0.10,0.70,1.20,1.50,4.00,142.39
0.20,0.15,0.25,0.30,0.30,0.05,0.65,1.10,1.50,4.00,142.10
0.25,0.15,0.25,0.30,0.35,0.05,0.75,1.20,1.50,4.00,141.98
0.25,0.15,0.25,0.30,0.35,0.05,0.75,1.30,1.50,4.00,141.98
0.25,0.15,0.25,0.30,0.35,0.10,0.75,1.30,1.50,4.00,141.96
0.20,0.15,0.20,0.30,0.35,0.15,0.70,1.20,1.50,4.00,141.80
0.25,0.15,0.30,0.30,0.30,0.05,0.70,1.30,1.50,4.00,141.24
0.20,0.15,0.25,0.30,0.35,0.05,0.70,1.10,1.50,4.00,141.03
0.20,0.15,0.30,0.25,0.35,0.05,0.70,1.20,1.50,4.00,140.25
0.15,0.15,0.20,0.25,0.35,0.05,0.65,1.10,1.50,4.00,140.19
0.20,0.15,0.25,0.30,0.35,0.15,0.70,1.30,1.50,4.00,139.98
0.15,0.15,0.20,0.30,0.30,0.05,0.65,1.10,1.50,4.00,139.80
0.25,0.15,0.25,0.30,0.35,0.15,0.75,1.20,1.50,4.00,139.03
0.25,0.15,0.30,0.30,0.35,0.10,0.75,1.20,1.50,4.00,138.88
0.20,0.15,0.20,0.30,0.35,0.05,0.70,1.00,1.50,4.00,138.86
0.15,0.15,0.25,0.30,0.35,0.10,0.70,1.20,1.50,4.00,138.82
0.25,0.20,0.20,0.30,0.30,0.05,0.65,1.20,1.50,4.00,138.81
0.20,0.15,0.25,0.25,0.35,0.10,0.70,1.30,1.50,4.00,138.70
0.20,0.15,0.20,0.30,0.35,0.10,0.70,1.10,1.50,4.00,138.69
0.20,0.15,0.25,0.30,0.35,0.15,0.75,1.30,1.50,4.00,138.40
0.20,0.15,0.20,0.30,0.30,0.10,0.65,1.30,1.50,4.00,138.33
0.20,0.15,0.20,0.30,0.30,0.10,0.65,1.20,1.50,4.00,138.33
0.25,0.15,0.25,0.30,0.35,0.10,0.75,1.20,1.50,4.00,138.24
0.25,0.15,0.25,0.30,0.30,0.05,0.70,1.20,1.50,4.00,138.24
0.20,0.15,0.20,0.30,0.35,0.15,0.70,1.10,1.50,4.00,138.12
0.15,0.20,0.25,0.30,0.35,0.05,0.70,1.30,1.50,4.00,137.84
0.15,0.15,0.20,0.30,0.35,0.05,0.70,1.20,1.50,4.00,137.82
0.15,0.15,0.20,0.30,0.35,0.05,0.70,1.10,1.50,4.00,137.82
0.20,0.15,0.30,0.25,0.35,0.05,0.70,1.30,1.50,4.00,137.71
0.20,0.15,0.20,0.30,0.30,0.05,0.65,1.20,1.50,4.00,137.69
0.20,0.15,0.20,0.30,0.30,0.05,0.65,1.30,1.50,4.00,137.69
0.20,0.15,0.25,0.30,0.30,0.10,0.70,1.30,1.50,4.00,137.65
0.20,0.15,0.25,0.25,0.30,0.05,0.65,1.00,1.50,4.00,137.62
0.25,0.15,0.30,0.30,0.30,0.05,0.70,1.20,1.50,4.00,137.61
0.15,0.15,0.25,0.30,0.35,0.05,0.70,1.20,1.50,4.00,137.41
0.15,0.15,0.25,0.30,0.35,0.05,0.70,1.30,1.50,4.00,137.41
0.20,0.20,0.25,0.30,0.35,0.10,0.75,1.30,1.50,4.00,137.25
0.20,0.15,0.25,0.25,0.30,0.05,0.65,1.10,1.50,4.00,137.20
0.15,0.15,0.25,0.30,0.30,0.05,0.65,1.30,1.50,4.00,137.18
0.20,0.15,0.30,0.30,0.35,0.05,0.70,1.20,1.50,4.00,137.07
0.25,0.15,0.30,0.30,0.35,0.05,0.75,1.00,1.50,4.00,136.75
0.20,0.15,0.25,0.30,0.35,0.10,0.70,1.00,1.50,4.00,136.74
0.20,0.15,0.25,0.30,0.35,0.10,0.75,1.30,1.50,4.00,136.70
0.15,0.20,0.25,0.30,0.35,0.10,0.75,1.30,1.50,4.00,136.57
0.15,0.15,0.20,0.25,0.35,0.05,0.65,1.00,1.50,4.00,136.49
0.25,0.15,0.25,0.30,0.35,0.05,0.75,1.10,1.50,4.00,136.49
0.15,0.15,0.30,0.30,0.35,0.10,0.75,1.30,1.50,4.00,136.43
0.15,0.15,0.20,0.30,0.30,0.10,0.65,1.30,1.50,4.00,136.25
0.15,0.15,0.20,0.30,0.30,0.10,0.65,1.20,1.50,4.00,136.25
0.20,0.15,0.25,0.30,0.35,0.15,0.70,1.20,1.50,4.00,136.20
0.20,0.15,0.20,0.30,0.35,0.10,0.70,1.30,1.50,4.00,136.14
0.25,0.15,0.25,0.30,0.30,0.10,0.70,1.30,1.50,4.00,136.14
0.20,0.15,0.30,0.25,0.35,0.10,0.70,1.20,1.50,4.00,135.95
0.15,0.20,0.30,0.30,0.35,0.10,0.75,1.30,1.50,4.00,135.82
0.20,0.15,0.25,0.30,0.30,0.05,0.65,1.20,2.00,4.00,135.80
0.15,0.15,0.25,0.30,0.30,0.10,0.70,1.20,1.50,4.00,135.72
0.20,0.15,0.25,0.25,0.35,0.05,0.70,1.20,1.50,4.00,135.53
0.20,0.15,0.30,0.30,0.35,0.05,0.75,1.30,1.50,4.00,135.45
0.20,0.15,0.25,0.30,0.30,0.10,0.65,1.20,1.50,4.00,135.45
0.25,0.15,0.25,0.30,0.35,0.15,0.75,1.10,1.50,4.00,135.11
0.25,0.15,0.30,0.30,0.30,0.10,0.70,1.30,1.50,4.00,135.11
0.20,0.15,0.20,0.25,0.35,0.05,0.65,1.10,1.50,4.00,135.10
0.20,0.15,0.25,0.30,0.35,0.05,0.70,1.00,1.50,4.00,134.94
0.20,0.15,0.25,0.30,0.30,0.05,0.65,1.00,1.50,4.00,134.90
0.15,0.15,0.25,0.30,0.30,0.05,0.65,1.10,1.50,4.00,134.88
0.20,0.15,0.25,0.25,0.30,0.05,0.65,1.30,1.50,4.00,134.84
0.20,0.15,0.25,0.25,0.30,0.05,0.65,1.20,1.50,4.00,134.84
0.20,0.15,0.25,0.30,0.35,0.15,0.75,1.20,1.50,4.00,134.77
0.20,0.15,0.25,0.30,0.35,0.05,0.70,1.20,2.00,4.00,134.60
0.20,0.15,0.25,0.30,0.35,0.05,0.70,1.30,2.00,4.00,134.60
0.25,0.15,0.30,0.30,0.35,0.15,0.75,1.30,1.50,4.00,134.57
0.20,0.20,0.20,0.30,0.35,0.05,0.70,1.20,1.50,4.00,134.53
0.15,0.15,0.25,0.30,0.35,0.10,0.70,1.30,1.50,4.00,134.52
0.25,0.15,0.30,0.30,0.35,0.05,0.75,1.10,1.50,4.00,134.50
0.25,0.15,0.25,0.30,0.30,0.05,0.70,1.10,1.50,4.00,134.48
0.25,0.15,0.30,0.30,0.25,0.05,0.65,1.20,1.50,4.00,134.40
0.15,0.15,0.30,0.30,0.35,0.10,0.70,1.30,1.50,4.00,134.39
0.25,0.15,0.30,0.30,0.35,0.05,0.75,1.30,2.00,4.00,134.38
0.20,0.15,0.25,0.25,0.35,0.10,0.70,1.10,1.50,4.00,134.28
0.15,0.20,0.20,0.30,0.35,0.10,0.70,1.20,1.50,4.00,134.26
0.15,0.20,0.25,0.30,0.35,0.05,0.70,1.20,1.50,4.00,134.24
0.15,0.15,0.20,0.25,0.35,0.05,0.65,1.30,1.50,4.00,133.99
0.15,0.15,0.20,0.25,0.35,0.05,0.65,1.20,1.50,4.00,133.99
0.25,0.20,0.30,0.30,0.25,0.05,0.65,1.30,1.50,4.00,133.92
0.20,0.15,0.20,0.30,0.35,0.05,0.70,1.10,2.00,4.00,133.82
0.20,0.15,0.20,0.30,0.35,0.05,0.70,1.20,2.00,4.00,133.82
0.25,0.20,0.20,0.30,0.35,0.10,0.70,1.20,1.50,4.00,133.73
0.15,0.20,0.20,0.25,0.35,0.05,0.65,1.10,1.50,4.00,133.72
0.20,0.20,0.25,0.30,0.35,0.05,0.70,1.30,1.50,4.00,133.66
0.20,0.20,0.20,0.30,0.30,0.05,0.65,1.20,1.50,4.00,133.66
0.15,0.15,0.20,0.30,0.30,0.05,0.65,1.20,1.50,4.00,133.59
0.15,0.15,0.20,0.30,0.30,0.05,0.65,1.30,1.50,4.00,133.59
0.15,0.15,0.25,0.30,0.30,0.10,0.65,1.20,1.50,4.00,133.58
0.20,0.15,0.30,0.25,0.35,0.10,0.70,1.30,1.50,4.00,133.58
0.20,0.15,0.25,0.25,0.35,0.15,0.70,1.20,1.50,4.00,133.34
0.20,0.15,0.30,0.30,0.30,0.05,0.65,1.30,1.50,4.00,133.23
0.25,0.15,0.25,0.30,0.35,0.05,0.75,1.00,1.50,4.00,133.23
0.25,0.15,0.25,0.30,0.30,0.10,0.70,1.10,1.50,4.00,133.21
0.25,0.15,0.25,0.30,0.25,0.05,0.65,1.20,1.50,4.00,133.21
0.25,0.15,0.25,0.30,0.25,0.05,0.65,1.10,1.50,4.00,133.21
0.25,0.15,0.25,0.30,0.30,0.05,0.65,1.20,1.50,4.00,133.09
0.20,0.15,0.25,0.30,0.35,0.10,0.75,1.20,1.50,4.00,132.99
0.20,0.15,0.25,0.30,0.30,0.05,0.70,1.20,1.50,4.00,132.99
0.15,0.20,0.25,0.30,0.35,0.10,0.75,1.20,1.50,4.00,132.98
0.15,0.15,0.25,0.20,0.35,0.10,0.65,1.10,1.50,4.00,132.71
0.15,0.15,0.30,0.30,0.35,0.10,0.75,1.20,1.50,4.00,132.66
0.20,0.15,0.25,0.30,0.35,0.10,0.70,1.20,2.00,4.00,132.63
0.25,0.20,0.20,0.30,0.30,0.05,0.65,1.30,1.50,4.00,132.62
0.25,0.15,0.25,0.25,0.35,0.05,0.65,1.20,1.50,4.00,132.20
0.25,0.15,0.25,0.25,0.35,0.05,0.70,1.20,1.50,4.00,132.15
0.20,0.15,0.25,0.25,0.30,0.10,0.65,1.10,1.50,4.00,132.12
0.25,0.15,0.25,0.30,0.30,0.05,0.70,1.30,1.50,4.00,132.06
0.25,0.15,0.25,0.30,0.35,0.10,0.70,1.30,1.50,4.00,132.03
0.25,0.20,0.25,0.30,0.35,0.05,0.75,1.30,1.50,4.00,132.02
0.20,0.15,0.25,0.25,0.35,0.05,0.70,1.10,1.50,4.00,131.92
0.15,0.15,0.25,0.25,0.35,0.05,0.65,1.10,1.50,4.00,131.85
0.20,0.15,0.30,0.30,0.35,0.10,0.70,1.30,1.50,4.00,131.82
0.20,0.15,0.30,0.30,0.35,0.05,0.75,1.20,1.50,4.00,131.82
0.15,0.20,0.20,0.30,0.30,0.05,0.65,1.10,1.50,4.00,131.79
0.15,0.20,0.20,0.30,0.30,0.05,0.65,1.20,1.50,4.00,131.79
0.15,0.15,0.20,0.30,0.35,0.05,0.70,1.30,1.50,4.00,131.74
0.25,0.25,0.20,0.30,0.35,0.05,0.70,1.30,1.50,4.00,131.71
0.20,0.15,0.25,0.30,0.30,0.10,0.70,1.10,1.50,4.00,131.66
0.25,0.15,0.30,0.30,0.35,0.10,0.75,1.30,2.00,4.00,131.59
0.20,0.15,0.25,0.30,0.35,0.05,0.75,1.20,1.50,4.00,131.59

